subset,mae,completed
W4-11,,FALSE
G21EA,,FALSE
G21IP,,FALSE
DIPCS10,,FALSE
PA26,,FALSE
SIE4x4,,FALSE
ALKBDE10,,FALSE
YBDE18,,FALSE
AL2X6,,FALSE
HEAVYSB11,,FALSE
NBPRC,,FALSE
ALK8,,FALSE
RC21,,FALSE
G2RC,,FALSE
BH76RC,,FALSE
FH51,,FALSE
TAUT15,,FALSE
DC13,,FALSE
MB16-43,,FALSE
DARC,1.13,TRUE
RSE43,,FALSE
BSR36,2.69,TRUE
CDIE20,2.09,TRUE
ISO34,1.24,TRUE
ISOL24,,FALSE
C60ISO,91.96,TRUE
PArel,,FALSE
BH76,,FALSE
BHPERI,,FALSE
BHDIV10,,FALSE
INV24,,FALSE
BHROT27,,FALSE
PX13,,FALSE
WCPT18,,FALSE
RG18,,FALSE
ADIM6,0.64,TRUE
S22,5,TRUE
S66,2.52,TRUE
HEAVY28,,FALSE
WATER27,,FALSE
CARBHB12,,FALSE
PNICO23,,FALSE
HAL59,,FALSE
AHB21,,FALSE
CHB6,,FALSE
IL16,,FALSE
IDISP,12.39,TRUE
ICONF,,FALSE
ACONF,0.56,TRUE
Amino20x4,,FALSE
PCONF21,3.18,TRUE
MCONF,0.92,TRUE
SCONF,1.58,TRUE
UPU23,,FALSE
BUT14DIOL,0.61,TRUE