subset,mae,completed
Amino20x4,1.7304858910256697,True
BHROT27,3.258026479964189,True
FH51,10.820839378580787,True
TAUT15,6.56395963762778,True
WCPT18,19.00531501763878,True
ISOL24,9.61693867764344,True
PCONF21,3.3839043163387164,True
ALK8,15.536335783951776,True
DARC,12.478032744817835,True
ICONF,3.7668512802115024,True
ISO34,5.4854723019473175,True
UPU23,4.0238551285471456,True
RG18,,False
DC13,19.70793109591006,False
BH76,12.697320367005116,False
RSE43,,False
INV24,12.950861068983722,True
PX13,17.037833043148694,True
RC21,,False
CHB6,4.064219170638497,True
G2RC,17.36786172123705,True
BHDIV10,27.322046307821797,True
BHPERI,12.492151348443382,True
NBPRC,17.276606625738246,True
PArel,5.462398865289282,True
AL2X6,2.9346539532418023,True
HEAVYSB11,,False
C60ISO,27.69893051097719,True
SCONF,1.4393853795988265,True
MCONF,1.5856411419897523,True
DIPCS10,635.2928588966338,True
S22,2.0887583566045094,True
PA26,110.77348622836828,True
YBDE18,16.54329680655405,False
BH76RC,13.133239285156385,False
IDISP,3.7679843975268548,True
MB16-43,38.92111943330229,False
G21IP,,False
HAL59,1.8950857510943884,True
BUT14DIOL,6.111314421265503,True
CARBHB12,3.0100459641011708,True
AHB21,9.3692492011616,True
PNICO23,2.2486005511279474,True
G21EA,,False
CDIE20,3.663342604186196,True
IL16,81.41176592518511,True
BSR36,35.982136788005484,True
HEAVY28,1.6899257174116982,True
ALKBDE10,,False
WATER27,20.997239250310603,True
ADIM6,4.528630789702318,True
SIE4x4,,False
S66,1.6679521522714746,True
ACONF,0.515319869147436,True
W4-11,13.311218590678765,False